step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
867,0.50076,0.81416,,
868,0.52243,0.85841,,
869,0.49544,0.832,,
870,0.76433,0.76415,,
871,0.87337,0.78571,,
872,0.63565,0.76852,,
873,0.66759,0.77083,,
874,0.59222,0.808,,
875,0.37727,0.88618,,
876,0.60805,0.81967,,
877,0.53079,0.80734,,
878,0.39958,0.87603,,
879,0.40915,0.8764,,
880,0.60072,0.78632,,
881,0.6564,0.72549,,
882,0.6874,0.75556,,
883,0.46539,0.85366,,
884,0.68378,0.76923,,
885,0.86007,0.75168,,
886,0.97434,0.70435,,
887,0.60429,0.81538,,
888,0.73349,0.76786,,
889,0.62921,0.77863,,
890,0.76741,0.72593,,
891,0.50772,0.85227,,
892,0.70415,0.7971,,
893,0.54681,0.84106,,
894,0.40079,0.87838,,
895,0.58406,0.83333,,
896,0.61731,0.85161,,
897,0.55544,0.82759,,
898,0.37032,0.88652,,
899,0.67815,0.81522,,
900,0.51732,0.85714,0.63799,0.81308
901,0.49612,0.81667,,
902,0.85526,0.80451,,
903,0.54671,0.79412,,
904,0.52904,0.86429,,
905,0.57184,0.84848,,
906,0.71687,0.78632,,
907,0.6845,0.83099,,
908,0.47008,0.81884,,
909,0.57495,0.78723,,
910,0.51248,0.85124,,
911,0.65589,0.79861,,
912,0.50694,0.82707,,
913,1.29348,0.71569,,
914,0.40689,0.88696,,
915,0.48447,0.81579,,
916,0.53969,0.83333,,
917,0.41297,0.85124,,
918,0.48988,0.80315,,
919,0.52678,0.82787,,
920,0.7962,0.79699,,
921,0.42404,0.89109,,
922,0.70462,0.83333,,
923,0.42205,0.85,,
924,0.47008,0.86928,,
925,0.58859,0.82482,,
926,0.71816,0.81308,,
927,0.51044,0.84173,,
928,0.59628,0.83193,,
929,0.67768,0.75214,,
930,1.07917,0.6699,,
931,0.88016,0.74107,,
932,0.49385,0.78641,,
933,0.97934,0.70093,,
934,0.78865,0.76761,,
935,0.37605,0.91129,,
936,0.60472,0.82301,,
937,0.354,0.856,,
938,0.29807,0.93103,,
939,0.84365,0.71304,,
940,0.61523,0.84034,,
941,0.59206,0.81818,,
942,0.59889,0.80451,,
943,0.68004,0.80392,,
944,0.64459,0.83125,,
945,0.57947,0.78659,,
946,0.40143,0.86538,,
947,0.67212,0.75163,,
948,0.46757,0.84211,,
949,0.62585,0.81081,,
950,0.56128,0.80142,,
951,0.55517,0.78571,,
952,0.61939,0.79747,,
953,0.56776,0.75833,,
954,0.58298,0.81203,,
955,0.43605,0.86577,,
956,0.54015,0.825,,
957,0.45487,0.88496,,
958,0.39741,0.86,,
959,0.36189,0.87234,,
960,0.37336,0.85882,,
961,0.58149,0.792,,
962,0.68957,0.75248,,
963,0.89217,0.7377,,
964,0.90242,0.78313,,
965,0.47174,0.82759,,
966,0.84575,0.73469,,
967,0.65005,0.7803,,
968,0.68336,0.76552,,
969,0.59169,0.7803,,
970,0.51075,0.80226,,
971,0.68996,0.7971,,
972,0.65142,0.78472,,
973,0.56966,0.82569,,
974,0.64375,0.80315,,
975,0.50315,0.80833,,
976,0.39933,0.89109,,
977,0.68778,0.78417,,
978,0.52883,0.82877,,
979,0.51012,0.82203,,
980,0.44603,0.89,,
981,0.68421,0.79605,,
982,0.63993,0.75714,,
983,0.86409,0.7449,,
984,0.79832,0.78448,,
985,0.64724,0.81618,,
986,0.64986,0.77419,,
987,0.42579,0.85714,,
988,0.86662,0.77586,,
989,0.99729,0.71429,,
990,0.55802,0.81955,,
991,0.44906,0.82759,,
992,0.51445,0.80672,,
993,0.2861,0.8963,,
994,0.50263,0.80682,,
